﻿世茂东壹号(别墅),﻿玉山-城东-前进东路233号,﻿121.053740,﻿31.380466,﻿23118,﻿别墅,"﻿多层1.8元/平方米/月,高层2.1",﻿750000m²,﻿6300户,﻿2009年,﻿6300,﻿1.5,﻿40%(高),﻿昆山世茂新发展置业有限公司,﻿上海世茂物业服务有限公司,0,0
﻿银都花园,﻿玉山-城北-紫竹路,﻿120.958755,﻿31.406349,﻿16707,﻿暂无数据,﻿0.35元/㎡/月,﻿900m²,﻿255户,﻿2003年,﻿地面停车位,﻿1.1,﻿25%(一般),﻿市政建设,﻿街道管理处,11,6
﻿汉林花园,﻿玉山-城北-汉林路,﻿120.931882,﻿31.274144,﻿15844,﻿暂无数据,﻿0.70元/㎡/月,﻿107000m²,﻿1170户,﻿2006年,﻿160,﻿1.7,﻿35%(一般),﻿昆山城建发展有限责任公司,﻿昆山市天合物业管理有限公司,7,58
﻿黄河路小区,﻿玉山-老城区-黄河路,﻿120.976204,﻿31.378900,﻿8152,﻿普通住宅,﻿暂无数据,﻿暂无数据,﻿800户,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿41%(高),﻿暂无数据,﻿暂无数据,0,0
﻿君凌花苑,﻿玉山-城北-昆太路,﻿120.968711,﻿31.391278,﻿6766,﻿普通住宅,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿2010年,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿千灯艺墅,﻿千灯-千灯古镇-南湾路故居路交叉口,﻿120.997624,﻿31.262980,﻿13131,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿新阳花园,﻿玉山-老城区-新阳街,﻿120.958120,﻿31.378407,﻿25919,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿1999年,﻿地面停车位,﻿1.2,﻿40%(高),﻿昆山城市建设投资发展有限公司,﻿小区自治,4,22
﻿建新园,"﻿花桥-蓬朗-金栗路,蓬莱路",﻿121.096178,﻿31.376762,﻿6188,﻿暂无数据,﻿0.50元/㎡/月,﻿120000m²,﻿暂无数据,﻿2012年,﻿250,﻿1.6,﻿30%(一般),﻿北京佳隆房地产开发有限公司,﻿暂无数据,2,0
﻿甘泉苑,﻿巴城-巴城-古城北路,﻿120.876647,﻿31.417704,﻿10626,﻿暂无数据,﻿1.20元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿地面停车位,﻿暂无数据,﻿32%(一般),﻿江苏城市建设,﻿同进物业,1,3
﻿荷塘月色,﻿巴城-阳澄湖-湖滨北路163号,﻿120.849068,﻿31.460647,﻿25554,﻿暂无数据,﻿2.50元/㎡/月,﻿24838m²,﻿74户,﻿2011年,﻿148,﻿0.4,﻿50%(高),﻿昆山市兴华房产发展有限公司,﻿博艺物业,0,55
﻿水岸花园,﻿玉山-城北-萧林路118号,﻿120.971079,﻿31.404397,﻿15711,﻿暂无数据,﻿1.25元/㎡/月,﻿200000m²,﻿1400户,﻿2007年,﻿1400,﻿1.37,﻿40%(高),﻿昆山万方置业有限公司,﻿苏州新康物业管理公司,95,408
﻿湖滨花园,﻿巴城-阳澄湖-马鞍山西路,﻿111.175036,﻿34.766845,﻿14957,﻿暂无数据,﻿0.35元/㎡/月,﻿490000m²,﻿3240户,﻿2009年,﻿3240,﻿1.45,﻿41%(高),﻿昆山阳澄湖房产开发有限责任公司,﻿昆山湖滨物业,30,241
﻿赵厍花园B区,﻿玉山-老城区-明星路,﻿120.926300,﻿31.374840,﻿18048,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2009年,﻿暂无数据,﻿1.2,﻿36%(一般),﻿江苏城市建设,﻿暂无数据,0,4
﻿碧波苑,﻿巴城-阳澄湖-民权路,﻿120.851948,﻿31.453871,﻿12388,﻿暂无数据,﻿0.50元/㎡/月,﻿97202m²,﻿90户,﻿2009年,﻿111个(31个汽车库，80个自行车库),﻿暂无数据,﻿49%(高),﻿昆山阳澄湖房产有限责任公司,﻿巴城佳丰物业有限公司,0,5
﻿龙潭湖村,﻿巴城-巴城-古城北路,﻿120.876647,﻿31.417704,﻿9130,﻿暂无数据,﻿1.20元/㎡/月,﻿62200m²,﻿680户,﻿2002年,﻿400,﻿1.2,﻿35%(一般),﻿昆山城市建设投资发展有限公司,﻿沈阳华新联美物业有限公司,0,0
﻿年丰新村,﻿巴城-巴城-古城路,﻿120.883518,﻿31.358908,﻿12500,﻿暂无数据,﻿0.50元/㎡/月,﻿27000m²,﻿180户,﻿2006年,﻿180,﻿1.5,﻿42%(高),﻿昆山阳澄湖房产有限责任公司,﻿安阳物业,9,218
﻿昆阳花园,﻿巴城-正仪-环城西路8号,﻿120.846546,﻿31.368310,﻿12588,﻿暂无数据,﻿0.00元/㎡/月,﻿10343m²,﻿90户,﻿2004年,﻿110,﻿1.2,﻿37%(一般),﻿昆山侨鑫房地产发展有限公司,﻿小区自治,0,15
﻿GOHO悦城,﻿花桥-易买得-云桥路359号,﻿121.123452,﻿31.293392,﻿11250,﻿暂无数据,﻿3.50元/㎡/月,﻿101990m²,﻿1330户,﻿暂无数据,﻿615,﻿3.9,﻿35%(一般),﻿昆山广捷置业有限公司,﻿苏州苏房物业有限公司,49,85
﻿晶蓝上城,﻿千灯-千灯新城-黄浦江路,﻿120.963922,﻿31.332333,﻿13222,﻿暂无数据,﻿2.00元/㎡/月,﻿148000m²,﻿1278户,﻿2010年,﻿1085（1：0.9）,﻿2,﻿46%(高),﻿昆山佰诚房地产开发区有限公司,﻿宁骏物业物业管理有限公司,93,626
﻿炎武社区良景园,﻿千灯-千灯古镇-人和路,﻿121.013169,﻿31.249686,﻿10783,﻿暂无数据,﻿0.80元/㎡/月,﻿136000m²,﻿1170户,﻿2009年,﻿166,﻿1.2,﻿41%(高),﻿市政建设,﻿昆山市百顺物业管理有限公司,22,52
﻿浦园,﻿千灯-石浦-兴浦北路285号,﻿121.059750,﻿31.242017,﻿10223,﻿暂无数据,﻿0.60元/㎡/月,﻿335000m²,﻿3000户,﻿2012年,﻿1:1,﻿1.2,﻿45%(高),﻿昆山市杭州湾置业有限公司,﻿上海东方航空物业管理有限公司,36,444
﻿高林水乡花园,﻿周庄-周庄-东坨路2号,﻿120.859153,﻿31.116222,﻿11463,﻿暂无数据,﻿0.30元/㎡/月,﻿24000m²,﻿200户,﻿2006年,﻿200个,﻿1.2,﻿43%(高),﻿昆山双桥房地产,﻿昆山双桥房地产,0,9
﻿鑫港花苑,﻿张浦-南港-震阳路141号,﻿120.885820,﻿31.276111,﻿10140,﻿暂无数据,﻿0.50元/㎡/月,﻿76000m²,﻿暂无数据,﻿1999年,﻿暂无数据,﻿1.5,﻿30%(一般),﻿江苏城市建设,﻿业主自营,2,11
﻿上郡花园,"﻿千灯-千灯古镇-少卿西路,近宏洋路",﻿120.989189,﻿31.270043,﻿10218,﻿暂无数据,﻿1.40元/㎡/月,﻿60000m²,﻿600户,﻿2010年,﻿1：2,﻿1.2,﻿36%(一般),﻿昆山市钢峰房地产有限公司,﻿小区自治,8,130
﻿宝卿花园,﻿千灯-千灯古镇-南湾路,﻿120.998989,﻿31.275352,﻿9899,﻿暂无数据,﻿0.00元/㎡/月,﻿87698m²,﻿882户,﻿暂无数据,﻿880,﻿1.7,﻿40%(高),﻿昆山恒升置业有限公司,﻿小区自治,4,12
﻿锦景园,﻿千灯-千灯古镇-景唐北路,﻿121.008930,﻿31.256980,﻿11286,﻿暂无数据,﻿0.90元/㎡/月,﻿80000m²,﻿1000户,﻿2002年,﻿1000,﻿1.5,﻿40%(高),﻿江苏爱涛房地产开发有限公司,﻿江苏爱涛物业管理有限公司,35,159
﻿果岭上的日子(别墅),﻿巴城-阳澄湖-前进西路,﻿120.851948,﻿31.453871,﻿10000,﻿暂无数据,﻿1.50元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2007年,﻿暂无数据,﻿0.85,﻿45%(高),﻿昆山市经协房屋开发有限公司,﻿昆山市绿洲物业管理有限公司,0,0
﻿千灯尚景苑,"﻿千灯-千灯古镇-尚书路,近恒升路",﻿121.007632,﻿31.258309,﻿10620,﻿暂无数据,﻿3.85元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿2,﻿25%(一般),﻿昆山隆泰置业有限公司,﻿昆山元宝,0,6
﻿渔业小区,"﻿周市-周市-周新路,迎周路",﻿120.987121,﻿31.462292,﻿8988,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿昆玉九里山庄,﻿玉山-城西-冠军路8号,﻿120.935135,﻿31.390967,﻿33906,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,5,261
﻿赵厍花园A区,﻿玉山-城西-明星路,﻿120.926300,﻿31.374840,﻿19910,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2009年,﻿暂无数据,﻿1.2,﻿36%(一般),﻿暂无数据,﻿暂无数据,12,50
﻿明鑫凯迪城(商住楼),﻿玉山-城西-虹桥路118号,﻿120.933993,﻿31.378754,﻿24652,﻿暂无数据,﻿1.30元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿2.22,﻿41%(高),﻿暂无数据,﻿暂无数据,10,24
﻿万和苑,﻿玉山-城西-生田路,﻿120.980737,﻿31.385598,﻿14950,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,1,10
﻿昆城景苑(二期),﻿玉山-城南-衡山路,﻿120.960523,﻿31.359180,﻿20494,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,25,39
﻿象屿珑公馆(商住楼),﻿玉山-城南-九华山路,﻿120.950558,﻿31.356265,﻿13410,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2016年,﻿暂无数据,﻿3.5,﻿25%(一般),﻿暂无数据,﻿暂无数据,147,85
﻿印象欧洲(三区),﻿玉山-南星渎-晨丰路,﻿120.862274,﻿31.331694,﻿14901,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,16,243
﻿印象花园,"﻿玉山-南星渎-元丰路,近新城南路",﻿120.866839,﻿31.324217,﻿14654,﻿暂无数据,﻿2.80元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2019年,﻿暂无数据,﻿1.8,﻿40%(高),﻿苏南万科置业有限公司,﻿江苏苏南万科物业服务有限公司,1,9
﻿夏驾园祥苑,﻿玉山-城东-泯江路，近西湖路,﻿121.066172,﻿31.395458,﻿13958,﻿暂无数据,﻿1.50元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2008年,﻿暂无数据,﻿1.2,﻿40%(高),﻿江苏新城房产股份公司,﻿百强物业有限公司,9,203
﻿康乐新村（长春南路与隆福寺弄交叉口）,﻿玉山-城东-长春南路与隆福寺弄交叉口,﻿126.040592,﻿44.373520,﻿7567,﻿公寓,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿青江秀韵,﻿玉山-老城区-玉龙路99号,﻿120.973717,﻿31.388438,﻿20873,﻿暂无数据,﻿1.50元/㎡/月,﻿100000m²,﻿128户,﻿2005年,﻿128,﻿1.65,﻿42%(高),﻿昆山华银置业有限公司,﻿东湖物业公司,5,151
﻿丰华园北区,﻿玉山-城东-咸子泾路,﻿120.999639,﻿31.385901,﻿15894,﻿暂无数据,﻿0.00元/㎡/月,﻿230000m²,﻿2718户,﻿2004年,﻿416,﻿1.6,﻿32%(一般),﻿昆山城市建设投资发展有限公司,﻿业主自营,1,19
﻿新苑花园一期,﻿周市-卜蜂莲花-白塘路,﻿120.977574,﻿31.401869,﻿17626,﻿暂无数据,﻿0.00元/㎡/月,﻿95230m²,﻿暂无数据,﻿2008年,﻿地面停车位,﻿1.2,﻿40%(高),﻿暂无数据,﻿小区自治,1,4
﻿绿岛花园城市绿洲,﻿玉山-城西-虹桥路598号,﻿120.931685,﻿31.396136,﻿19746,﻿暂无数据,﻿2.58元/㎡/月,﻿58000m²,﻿436户,﻿暂无数据,﻿1:1,﻿暂无数据,﻿暂无数据,﻿苏州市平江区房地产建设有限公司昆山分公司,﻿森昶物业,15,56
﻿亭林山庄,﻿玉山-老城区-马鞍山东路189号,﻿120.944252,﻿31.386173,﻿30198,﻿暂无数据,﻿0.80元/㎡/月,﻿60000m²,﻿246户,﻿2005年,﻿1：1、1：2,﻿1.2,﻿50%(高),﻿昆山钢峰房地产有限公司,﻿江苏爱涛物业管理有限公司苏州公司,1,101
﻿水木清庭,﻿玉山-城西-花园路与399省道交界处,﻿120.921884,﻿31.400965,﻿36705,﻿别墅,﻿1元/平方米·月,﻿60000m²,﻿194户,﻿2006年,﻿1：1,﻿0.59,﻿44%(高),﻿江苏振华投资发展有限公司,﻿振华物业,0,0
﻿东方丽池,﻿玉山-老城区-庆丰西路298号,﻿120.978101,﻿31.360160,﻿15103,﻿暂无数据,﻿1.20元/㎡/月,﻿82554m²,﻿1064户,﻿2009年,﻿1064,﻿3.48,﻿30%(一般),﻿昆山美发房地产开发有限公司,﻿昆山金港湾物业管理有限公司,233,702
﻿时代中央花园,﻿玉山-城西-前进西路1888号,﻿120.904568,﻿31.382707,﻿28579,﻿暂无数据,﻿1.08元/㎡/月,﻿300000m²,﻿2000户,﻿2007年,﻿2000,﻿2.5,﻿42%(高),﻿昆山时代房地产开发有限公司,﻿时代物业管理公司,123,714
﻿美华东村,﻿玉山-城东-顺帆南路,﻿121.008067,﻿31.375874,﻿15302,﻿暂无数据,﻿1.00元/㎡/月,﻿282200m²,﻿1100户,﻿2000年,﻿410,﻿1.2,﻿30%(一般),﻿新城地产,﻿昆山市青阳物业管理中心,6,194
﻿清水湾,﻿玉山-城西-花园路2813号,﻿120.922862,﻿31.400853,﻿18061,﻿暂无数据,﻿1.40元/㎡/月,﻿103600m²,﻿239户,﻿2016年,﻿地上150元/月,﻿暂无数据,﻿50%(高),﻿上海中星(集团)有限公司,﻿振华物业,3,32
﻿全功路200号小区,﻿周庄-周庄-全功路200号,﻿120.850342,﻿31.116661,﻿6793,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿小区自治,0,2
﻿鑫茂东苑,﻿周市-周市-昆山市周市镇鑫茂路360号,﻿120.976280,﻿31.467251,﻿11739,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿沁园,﻿玉山-城北-水秀路1209号,﻿120.944426,﻿31.410706,﻿18910,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿430户,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿云谷周庄,﻿周庄-周庄-大桥路,﻿120.849612,﻿31.125264,﻿10689,﻿暂无数据,﻿1.80元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2016年,﻿暂无数据,﻿1.43,﻿40%(高),﻿昆山物物联地产开发有限公司,﻿昆山振华专业管理,4,400
﻿中科高科技基地公寓楼,﻿周庄-周庄-高新路,﻿120.858479,﻿31.132624,﻿11666,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿兰花园,﻿周庄-周庄-全功路202号,﻿120.850483,﻿31.117079,﻿13586,﻿暂无数据,﻿0.80元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿小区自治,0,0
﻿全功路248号小区,﻿周庄-周庄-全功路248号,﻿120.847914,﻿31.116319,﻿7500,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿望江新村,﻿张浦-南港-震阳路126号,﻿120.885927,﻿31.268418,﻿10278,﻿暂无数据,﻿0.50元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2005年,﻿地面停车场,﻿1.2,﻿40%(高),﻿江苏城市建设,﻿业主自管,2,47
﻿蓬莱家园,﻿花桥-赛格电子城-蓬莱路268号,﻿121.091361,﻿31.377274,﻿11904,﻿暂无数据,﻿0.80元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿1.2,﻿36%(一般),﻿暂无数据,﻿暂无数据,0,0
﻿蓬曦园B5区瓦浦新村,"﻿花桥-蓬朗-新星中路,近浣花塘路",﻿121.075376,﻿31.373312,﻿13679,﻿暂无数据,﻿0.30元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2013年,﻿暂无数据,﻿1.1,﻿46%(高),﻿江苏中大建设集团有限公司,﻿暂无数据,4,17
﻿上郡花园(别墅),"﻿千灯-千灯古镇-少卿西路,近宏洋路",﻿120.989189,﻿31.270043,﻿11509,﻿暂无数据,﻿1.40元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2009年,﻿暂无数据,﻿0.7,﻿40%(高),﻿昆山市钢峰房地产有限公司_x000D_,﻿昆山百强物业公司,0,59
﻿恒丰时代广场,﻿千灯-千灯古镇-恒升路262号,﻿121.007820,﻿31.257623,﻿8455,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,4,4
﻿源水美墅,﻿千灯-千灯古镇-尚书路,﻿121.003683,﻿31.265937,﻿10000,﻿暂无数据,﻿1.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2007年,﻿暂无数据,﻿0.46,﻿42%(高),﻿昆山银泰置业有限公司,﻿暂无数据,0,0
﻿秦峰广场,﻿千灯-千灯古镇-炎中路，近景唐北路,﻿121.010078,﻿31.257943,﻿9333,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿昆山泰莱建屋有限公司,﻿暂无数据,3,1
﻿永恒盛东大街小区,﻿花桥-蓬朗-新星路555号,﻿121.081106,﻿31.357223,﻿20000,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿1.4,﻿暂无数据,﻿昆山永恒盛置业有限公司,﻿永恒盛物业有限公司,0,0
﻿水秀江南,﻿玉山-城北-萧林路和水秀路交接处，水秀路向北500米,﻿120.943335,﻿31.416565,﻿18548,﻿普通住宅,﻿2.2元/㎡/月,﻿1148438m²,﻿618户,﻿2014年,﻿681,﻿2,﻿38%(一般),﻿昆山鑫扬房地产开发有限公司,﻿苏州悦华置合物业服务有限公司,0,0
﻿钱隆汇,﻿千灯-千灯古镇-八零一村道,﻿120.848142,﻿31.113981,﻿5500,﻿暂无数据,﻿0.60元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2008年,﻿暂无数据,﻿暂无数据,﻿33%(一般),﻿昆山望山房产开发有限公司_x000D_,﻿暂无数据,0,0
﻿卿峰丽景,﻿千灯-千灯古镇-少卿西路2号,﻿120.995470,﻿31.272727,﻿13333,﻿暂无数据,﻿1.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2005年,﻿暂无数据,﻿0.38,﻿55%(高),﻿昆山鑫千灯房地产开发有限公司,﻿深圳市福田物业发展有限公司,0,1
﻿杏花北苑,﻿陆家-陆家-友谊路536号,﻿121.032115,﻿31.315212,﻿14545,﻿暂无数据,﻿0.80元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿街道管理,0,2
﻿常发豪郡(北区),"﻿陆家-陆家-星圃路,近星望路",﻿121.072840,﻿31.333987,﻿13515,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2013年,﻿暂无数据,﻿2,﻿40%(高),﻿暂无数据,﻿暂无数据,55,367
﻿永平花园,﻿周市-客运北站-东辉路,﻿120.623528,﻿31.331285,﻿13929,﻿暂无数据,﻿1.00元/㎡/月,﻿250000m²,﻿2500户,﻿暂无数据,﻿2400,﻿暂无数据,﻿30%(一般),﻿暂无数据,﻿万事达物业,23,241
﻿中城竹源居,﻿花桥-赛格电子城-曹浦路,﻿121.136620,﻿31.291724,﻿15849,﻿暂无数据,﻿0.50元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿业主自营,0,3
﻿中城花园御景庭,﻿花桥-赛格电子城-曹浦路125号,﻿121.137281,﻿31.300419,﻿15344,﻿暂无数据,﻿0.50元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿业主自营,1,2
﻿象屿西郊御府,"﻿花桥-赛格电子城-曹浦路,近泗泾路",﻿121.142209,﻿31.298009,﻿20913,﻿暂无数据,﻿2.68元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2020年,﻿暂无数据,﻿2.5,﻿40%(高),﻿暂无数据,﻿暂无数据,0,28
﻿中城花园紫竹苑,﻿花桥-赛格电子城-曹浦路188号,﻿121.136910,﻿31.300835,﻿19293,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,1,1
﻿象屿苏河公园,﻿花桥-香榭丽大道-绿地大道1299号,﻿121.105671,﻿31.291281,﻿20571,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2020年,﻿暂无数据,﻿2.5,﻿44%(高),﻿暂无数据,﻿暂无数据,0,36
﻿绿地21城E区(别墅),﻿花桥-香榭丽大道-塞纳大道,﻿121.097076,﻿31.291273,﻿21000,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,33,119
﻿鑫隆广场,﻿花桥-花桥老镇-花溪路168号,﻿121.092100,﻿31.303480,﻿14526,﻿暂无数据,﻿1.30元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2009年,﻿暂无数据,﻿1.59,﻿暂无数据,﻿苏州金鑫房产开发有限公司昆山分公司,﻿桂花园物业公司,15,3
﻿梅苑里,﻿花桥-花桥老镇-花安路2388,﻿121.094983,﻿31.307577,﻿13065,﻿暂无数据,﻿0.50元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2006年,﻿暂无数据,﻿1.2,﻿暂无数据,﻿昆山金都房地产有限公司,﻿业主自营,1,7
﻿富隆花园居住区,﻿花桥-花桥新城-西环路,﻿121.077683,﻿31.293090,﻿18095,﻿暂无数据,﻿0.80元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿昆山特福隆房地产开发有限公司,﻿小区自治,5,10
﻿花桥阳光苑,﻿花桥-花桥老镇-花溪路30弄,﻿121.095862,﻿31.304129,﻿17549,﻿暂无数据,﻿0.20元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2009年,﻿暂无数据,﻿1.42,﻿45%(高),﻿暂无数据,﻿业主自营,0,5
﻿花望小区,﻿花桥-易买得-光明路,﻿121.125795,﻿31.285371,﻿10714,﻿暂无数据,﻿1.20元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2009年,﻿暂无数据,﻿1.3,﻿35%(一般),﻿绿地集团,﻿暂无数据,0,0
﻿溪屿墅,﻿花桥-香榭丽大道-金中路98号,﻿121.081362,﻿31.287286,﻿22888,﻿暂无数据,﻿2.70元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿1.95,﻿43%(高),﻿江苏嘉景置业有限公司,﻿河南鑫苑物业管理有限公司昆山分公司,0,0
﻿常发香城湾(别墅),﻿花桥-花桥新城-绿地大道1333号,﻿121.086065,﻿31.293677,﻿21376,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,3
﻿国基城邦逸墅,﻿花桥-花桥新城-金中路99号,﻿121.080331,﻿31.285376,﻿17626,﻿暂无数据,﻿2.80元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿1.2,﻿40%(高),﻿昆山天泓置业有限公司,﻿上海新驰物业管理有限公司,38,150
﻿碧桂园天悦湾(兴业路30号),﻿玉山-城东-兴业路30号,﻿121.146257,﻿31.474331,﻿9213,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿美华西村,﻿玉山-城东-樾河南路943-1号,﻿121.004261,﻿31.377097,﻿15907,﻿暂无数据,﻿1.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2008年,﻿暂无数据,﻿1.25,﻿30%(一般),﻿新诚房地产开发有限公司,﻿昆山市青阳物业管理中心,14,92
﻿合丰新村,﻿陆家-合丰-金阳西路,﻿121.002722,﻿31.342385,﻿8584,﻿暂无数据,﻿0.60元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿1.2,﻿30%(一般),﻿暂无数据,﻿暂无数据,0,0
﻿佳茂缘小区,﻿陆家-合丰-黄浦江路,﻿121.007279,﻿31.428100,﻿11567,﻿暂无数据,﻿1.60元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2011年,﻿暂无数据,﻿3.13,﻿39%(一般),﻿昆山佳茂缘置业有限公司,﻿昆山名湖物业,1,45
﻿清水佳苑,﻿张浦-张浦-新吴街,﻿120.946446,﻿31.284211,﻿10400,﻿普通住宅,﻿1.20元/平米·月,﻿10440m²,﻿600户,﻿2009年,﻿地面停车位、地下停车库,﻿2.4,﻿39%(一般),﻿暂无数据,﻿暂无数据,0,0
﻿甲壳虫公寓,﻿玉山-城西-前进西路,﻿120.907913,﻿31.381496,﻿25513,﻿暂无数据,﻿3.00元/㎡/月,﻿15267m²,﻿154户,﻿2009年,﻿154,﻿暂无数据,﻿21%(一般),﻿昆山市名仕房产发展有限公司,﻿上海宏华物业,39,51
﻿红杨花园,﻿巴城-巴城-城北西路,﻿120.893057,﻿31.425907,﻿13452,﻿暂无数据,﻿0.80元/㎡/月,﻿400000m²,﻿2000户,﻿2009年,﻿260,﻿1.29,﻿45%(高),﻿昆山阳澄湖房产开发有限责任公司,﻿新龙天宇物业公司,34,403
